Open,High,Low,Close,Volume,Dividends,Stock Splits
150.09027767478486,151.93355507544456,149.66490818597188,151.82957458496094,22622100,0.0,0.0
149.6554253847614,151.19620847768044,149.4096455068012,149.93899536132812,21116200,0.0,0.0
148.48329153461876,150.3927445508696,147.94447970171677,150.32656860351562,20813700,0.0,0.0
150.60071074881336,150.93154722601824,148.71016714066076,148.9559326171875,21634100,0.0,0.0
150.23204869357042,151.99971686703032,149.30568631614628,151.3285675048828,27746500,0.0,0.0
152.98276776943587,153.34197562938405,152.21710000371593,153.21908569335938,21385000,0.0,0.0
153.9091751273673,154.28727811161113,152.35891539033636,152.51016235351562,20725900,0.0,0.0
152.90714658550698,154.3723206204449,152.43451073060453,154.34396362304688,21626500,0.0,0.0
154.4479648118691,154.64647824399333,152.8693625755226,153.25692749023438,23477400,0.0,0.0
153.72007035240767,154.96783584765552,153.67281830910034,154.24942016601562,21417900,0.0,0.0
155.35541857174925,157.1419816102334,155.05292468702913,157.0758056640625,23865400,0.0,0.0
158.25738972858082,158.30465619935018,156.37629381209493,157.9549102783203,34371700,0.0,0.0
157.55789835006,158.98526801417273,157.32158039758605,157.38775634765625,29517200,0.0,0.0
158.23845906923225,158.3235444747058,156.61259077362428,156.63150024414062,24138800,0.0,0.0
157.09472547499433,157.6713418599453,156.22507713475247,157.59571838378906,19680800,0.0,0.0
158.3424825375192,158.36139201317255,155.44995298181732,156.00765991210938,24918100,0.0,0.0
152.3305200644923,154.43848622125867,151.4325148850545,153.398681640625,32078100,0.0,0.0
154.81661422070258,156.6882483457103,154.14547932010373,156.40467834472656,24899900,0.0,0.0
158.65445433777757,159.5146553483084,156.6221252391188,158.843505859375,34754500,0.0,0.0
164.52453468683692,164.52453468683692,161.44293985569806,163.32403564453125,51597500,0.0,0.0
162.78523773584587,162.96482723403622,160.29916867247016,160.91358947753906,36142700,0.0,0.0
161.10266690413363,164.94993007628167,161.07430990386203,164.8365020751953,30107000,0.0,0.0
167.44543856138947,170.75388971293165,166.6608612717509,170.26234436035156,36433300,0.0,0.0
173.9583748825606,174.11906936388917,168.64595177807354,170.0543975830078,39186300,0.0,0.0
171.06583483899962,173.75986517610264,170.20563405922817,173.58026123046875,27751400,0.0,0.0
172.8429430262262,175.47079730341426,172.49318267512277,173.82601928710938,33529100,0.0,0.0
173.53298558426346,178.50510968178952,173.22104418313037,178.37277221679688,35844300,0.0,0.0
180.2160459982191,180.2633124685266,173.45735903159144,174.34591674804688,53159900,0.0,0.0
175.42353231595447,175.67875972595644,171.89767274276622,174.6011505126953,47062900,0.0,0.0
173.0603579564026,176.03795827229686,172.86184453761513,173.6558837890625,35295800,0.0,0.0
173.22102429320978,175.26281445325165,172.65385555196474,175.2061004638672,23149500,0.0,0.0
175.45186467568067,177.42747888527302,175.34788422129685,176.9832000732422,27792200,0.0,0.0
178.25334748549824,178.3670852904449,176.746263717562,177.51402282714844,29997500,0.51,0.0
177.20123010558348,177.48558908217993,171.6562951458951,174.80316162109375,36862400,0.0,0.0
173.61834725384844,173.93114068656777,168.00705551331956,169.2771759033203,48572600,0.0,0.0
159.02140017038658,165.4478463263177,154.71813679067944,161.97869873046875,68311100,0.0,0.0
165.11615139518335,165.72277733069018,158.90770527302703,159.30581665039062,68073300,0.0,0.0
160.86022960459255,164.2250980795155,159.43844930371904,161.29623413085938,56206100,0.0,0.0
154.8035013421261,158.3200311084721,149.74195067287758,149.9315185546875,93174900,0.0,0.0
144.46236668665765,155.17311496563838,144.07374325016832,153.56175231933594,97012700,0.0,0.0
156.68970562212584,163.90287344639816,153.8461442900306,163.77964782714844,71030800,0.0,0.0
164.73698098446346,165.87440256658573,153.79874085302225,155.93141174316406,71677000,0.0,0.0
159.7038570188698,161.79860535911507,156.98350737328664,161.65643310546875,49814400,0.0,0.0
157.39109568141728,161.95974258543,157.0498678014542,157.59962463378906,47817300,0.0,0.0
154.1304911008303,154.60441795195356,147.86517755045685,153.1447296142578,72821100,0.0,0.0
143.12590557907217,149.5239179145605,142.17805189974058,142.76571655273438,70419300,0.0,0.0
149.91250932333253,152.63284417285914,144.62348518857524,152.52857971191406,65354400,0.0,0.0
148.9362468910333,149.47651594433142,143.2680717176468,145.61875915527344,56371600,0.0,0.0
137.72316093092766,145.46712479186598,131.3535821963336,131.8085479736328,93226400,0.0,0.0
139.80840891555962,153.46698304753858,133.3914358600728,150.54759216308594,92727400,0.0,0.0
132.69947723266273,141.56191239022507,127.96021018863907,128.35830688476562,87905900,0.0,0.0
132.69949067274422,139.8083919587841,127.96022314871765,138.92689514160156,81059800,0.0,0.0
130.80383086914023,138.38666164416284,127.97923045511283,133.07867431640625,81593200,0.0,0.0
135.32508790671272,142.32023895199598,131.75167511472426,135.26821899414062,85922700,0.0,0.0
138.38665869750938,139.42930369211481,128.7754214733434,130.18772888183594,84866200,0.0,0.0
129.86541769841315,133.23978869379377,125.60956425248216,128.88912963867188,78975200,0.0,0.0
136.2539396766585,141.79888839830375,133.90326706268647,140.60458374023438,82516700,0.0,0.0
141.14488563874747,146.28225050950442,136.9079788119045,139.25865173339844,75638200,0.0,0.0
140.66153652439573,148.49082030556474,140.63310205968344,147.96949768066406,64568100,0.0,0.0
143.83674853647622,146.81300753228214,141.41971955642393,141.89364624023438,57042300,0.0,0.0
