Close,High,Low,Open,Volume,MA_50,MA_200,Daily_Return
151.82957458496094,151.93355507544456,149.66490818597188,150.09027767478486,22622100,,,
149.9390411376953,151.19625463787472,149.40969112155793,149.65547107455467,21116200,,,-0.01245168111966033
150.32659912109375,150.392775081882,147.94450973571048,148.4833216779959,20813700,,,0.002584770320376517
148.9559326171875,150.93154722601824,148.71016714066076,150.60071074881336,21634100,,,-0.009117923986307508
151.32855224609375,151.9997015405678,149.3056712613287,150.23203354534573,27746500,,,0.015928332542509915
153.21905517578125,153.3419450873292,152.2170696857094,152.98273729892662,21385000,,,0.012492704791182696
152.51014709472656,154.28726267501992,152.35890014667973,153.90915972860566,20725900,,,-0.0046267618622330975
154.34393310546875,154.3722900972599,152.43448059057198,152.90711635202274,21626500,,,0.01202402624137
153.2569580078125,154.6465090382684,152.86939301592614,154.4479955666148,23477400,,,-0.007042551500313743
154.2494354248047,154.9678511775123,153.6728335108503,153.72008555883195,21417900,,,0.0064759044541493616
157.07579040527344,157.14196634501582,155.05290962474845,155.35540348008348,23865400,,,0.018323276015143497
157.9549102783203,158.30465619935018,156.37629381209493,158.25738972858082,34371700,,,0.005596787835850714
157.3877716064453,158.985283427841,157.3215956499593,157.55791362534438,29517200,,,-0.003590509917518192
156.6315460205078,158.3235907455817,156.6126365444651,158.2385053152415,24138800,,,-0.0048048560457953915
157.59571838378906,157.6713418599453,156.22507713475247,157.09472547499433,19680800,,,0.006155671624124892
156.00765991210938,158.36139201317255,155.44995298181732,158.3424825375192,24918100,,,-0.010076786907448398
153.39869689941406,154.4385015834786,151.4325299482661,152.3305352170298,32078100,,,-0.016723300728727852
156.40467834472656,156.6882483457103,154.14547932010373,154.81661422070258,24899900,,,0.019595873407474595
158.84349060058594,159.5146400250475,156.62211019371946,158.65443909714912,34754500,,,0.015592962318454973
163.3240509033203,164.52455005778435,161.44295493874296,164.52455005778435,51597500,,,0.02820739009066986
160.9136199951172,162.9648581406356,160.29919907352217,162.78526860838573,36142700,,,-0.014758579002121297
164.83644104003906,164.94986899912567,161.0742502617588,161.10260725153046,30107000,,,0.024378427662250735
170.2623291015625,170.75387441009062,166.66084633572413,167.44542355504944,36433300,,,0.032916799387857854
170.0543975830078,174.11906936388917,168.64595177807354,173.9583748825606,39186300,,,-0.0012212420660042689
173.58029174804688,173.7598957252574,170.2056639835047,171.06586491451017,27751400,,,0.02073391935258817
173.82598876953125,175.47076649707245,172.49315239154268,172.8429126812408,33529100,,,0.0014154661166314586
178.37278747558594,178.50512495189932,173.22105900121804,173.53300042903595,35844300,,,0.026157185920473003
174.34593200683594,180.2633282452073,173.45737421261373,180.21606177076302,53159900,,,-0.022575503392305074
174.6011962890625,175.67880578484775,171.89771781034432,175.42357830793108,47062900,,,0.0014641252553948547
173.6558380126953,176.03791186800555,172.86179897055976,173.06031233701836,35295800,,,-0.005414386020597961
175.2061309814453,175.26284498070825,172.65388562499024,173.2210544650253,23149500,,,0.008927387564342526
176.98321533203125,177.42749418236605,175.34789933909548,175.45187980244407,27792200,,,0.010142820577289768
177.51402282714844,178.3670852904449,176.746263717562,178.25334748549824,29997500,,,0.002999196811524607
174.8031768798828,177.4856045751215,171.65631012999017,177.20124557370298,36862400,,,-0.015271165083703075
169.27720642089844,173.9311720431706,168.0070858019182,173.61837855406034,48572600,,,-0.03161252877447174
161.9787139892578,165.44786191190894,154.7181513655058,159.0214151505909,68311100,,,-0.043115624282535236
159.30577087402344,165.72272971041576,158.90765961105674,165.11610394922226,68073300,,,-0.016501817117844486
161.2962646484375,164.22512915124068,159.43847946980046,160.86026003967774,56206100,,,0.012494800178884491
149.93145751953125,158.31996665846233,149.74188971489195,154.80343832364952,93174900,,,-0.07045920842418185
153.561767578125,155.17313038454182,144.0737575661736,144.4623810412788,97012700,,,0.024213131244461117
163.7796173095703,163.90284290585905,153.8461156233935,156.68967642563902,71030800,,,0.0665390213501349
155.93142700195312,165.87441879835387,153.79875590311715,164.73699710492832,71677000,,,-0.04791921263793664
161.65647888183594,161.79865117574127,156.98355182641814,159.70390224232463,49814400,,,0.03671518942625407
157.5996551513672,161.95977394730102,157.0498982125775,157.3911261586159,47817300,,,-0.025095336472311214
153.14474487304688,154.60443335618072,147.86519228321035,154.1305064578371,72821100,,,-0.028267259049783888
142.76571655273438,149.5239179145605,142.17805189974058,143.12590557907217,70419300,,,-0.06777267041658175
152.5286102294922,152.63287471129829,144.6235141245197,149.91253931749316,65354400,,,0.0683840204251811
145.61875915527344,149.47651594433142,143.2680717176468,148.9362468910333,56371600,,,-0.045301999826932726
131.8085174560547,145.46709111192325,131.35355178409353,137.72312904394167,93226400,,,-0.09483834211561215
150.547607421875,153.46699860222324,133.39144937999532,139.80842308587606,92727400,159.68542449951173,,0.14216903677767245
128.35830688476562,141.56191239022507,127.96021018863907,132.69947723266273,87905900,159.21599914550782,,-0.1473905890442282
138.9269256591797,139.8084226699975,127.96025125728585,132.69951982237052,81059800,158.9957568359375,,0.08233685088961251
133.07862854003906,138.3866140419556,127.97918643285101,130.8037858752731,81593200,158.6507974243164,,-0.04209621058978785
135.2682342529297,142.32025500628072,131.7516899768333,135.32510317191682,85922700,158.37704345703125,,0.01645347368628647
130.187744140625,139.42932003407233,128.7754365666015,138.38667491726258,84866200,157.95422729492188,,-0.037558634075203434
128.8891143798828,133.23977291994353,125.6095493819508,129.86540232404437,78975200,157.4676284790039,,-0.00997505386789288
140.60459899902344,141.79890378670194,133.90328159423055,136.25395446330393,82516700,157.22951751708985,,0.0908958423332078
139.2586669921875,146.28226653788022,136.90799381312664,141.14490110421414,75638200,156.9278121948242,,-0.009572460761722912
147.9694366455078,148.4907590553709,140.63304405067825,140.66147850366175,64568100,156.82206176757813,,0.06255100556009907
141.89369201660156,146.8130548956865,141.4197651798974,143.83679493970843,57042300,156.57494689941407,,-0.041060808006331606
151.87461853027344,152.2253342901318,142.18755101382314,144.49084339308502,63420300,156.47092346191405,,0.07034087542456868
149.4860076904297,156.1873255730772,148.3959672991363,151.0878682333424,77927200,156.30154541015625,,-0.015727518284219588
144.1780242919922,149.5239184853041,142.9552994047509,145.02161349129338,57969900,156.0373504638672,,-0.03550822903391593
147.1637420654297,147.3722710107029,142.51926529474,143.94104566900393,49630700,155.84799438476563,,0.020708549642702634
145.80831909179688,149.1732022198361,144.25383978691568,147.01209719751583,41243300,155.61224639892578,,-0.009210305164910726
156.65176391601562,157.8176197600713,149.3627676322206,151.95989162657898,67111700,155.6251284790039,,0.07436780625248152
154.964599609375,161.13512171051497,154.74658285480595,160.74649823995173,62769000,155.65644653320314,,-0.01077015837207651
156.51910400390625,157.9787925050275,154.97409766807493,157.0309386966601,48318200,155.6587350463867,,0.010031351666443422
156.52853393554688,158.64224329248236,154.81292133217562,157.68491641818002,51385100,155.61243591308593,,6.0247799785528855e-05
156.87924194335938,156.9361253075692,153.83664002908935,155.77974277463417,41905300,155.48353973388672,,0.0022405372298248682
164.64218139648438,164.6895769731253,159.23941831070533,160.18727199112618,52874300,155.55811096191405,,0.04948353495950575
162.91708374023438,164.51895866137778,160.41475077875486,162.27253576214963,40940800,155.51972381591796,,-0.010477859571695669
167.80801391601562,168.0355040124014,163.883900147735,165.21090401533556,50479600,155.47063751220702,,0.03002097793242897
169.28663635253906,170.6136254317699,166.69898595339458,170.1396986944594,52765600,155.45528228759767,,0.008811393461002792
165.93125915527344,169.42884146949478,165.86491691998498,167.4193963415168,36669600,155.3023016357422,,-0.01982068561087158
159.06881713867188,164.6137526846759,157.4479809248554,164.4526192889561,56203700,155.007158203125,,-0.041357138200101895
164.47158813476562,164.926553888929,161.9123858808334,162.45265500207105,34620200,154.72913421630858,,0.0339649913369493
